	price	area	district	condominium	iptu	rooms	box
1	670000.0	74.43	Mont Serrat	717.0	1400.0	2	1
2	990000.0	104.83	Bela Vista	800.0	3070.0	3	2
4	1750000.0	203.37	Bela Vista	1850.0	4500.0	4	3
5	1800000.0	138.79	Bela Vista	1100.0	3600.0	3	3
7	1925000.0	154.11	Auxiliadora	1000.0	4000.0	3	4
8	1900000.0	113.03	Auxiliadora	1400.0	4300.0	3	4
10	345000.0	72.0	Auxiliadora	430.0	1100.0	2	1
11	380000.0	64.2	Mont Serrat	299.0	554.0	2	1
12	850000.0	154.17	Bela Vista	1190.0	3806.0	3	2
15	2650000.0	165.33	Bela Vista	1800.0	4500.0	3	4
19	1400000.0	154.17	Bela Vista	1190.0	3806.0	3	3
29	1350000.0	197.86	Auxiliadora	2330.0	4800.0	3	3
37	355000.0	67.0	Bela Vista	180.0	773.0	1	1
38	299000.0	42.1	Bela Vista	270.0	700.0	1	1
43	1600000.0	179.5	Bela Vista	1400.0	2800.0	3	3
46	790000.0	121.18	Mont Serrat	798.0	2030.0	3	2
52	745000.0	86.83	Bela Vista	800.0	1830.0	2	2
54	399000.0	66.03	Auxiliadora	250.0	930.0	1	1
58	590000.0	102.7	Auxiliadora	430.0	850.0	3	1
60	2100000.0	194.0	Bela Vista	1500.0	5500.0	3	4
61	580000.0	95.8	Auxiliadora	650.0	1200.0	3	1
62	1810000.0	170.0	Mont Serrat	1400.0	3500.0	4	3
67	198000.0	45.32	Auxiliadora	180.0	486.0	1	1
69	650000.0	130.75	Auxiliadora	594.0	1800.0	3	1
72	699000.0	73.44	Bela Vista	400.0	2000.0	2	2
73	816000.0	131.89	Bela Vista	1001.0	1598.0	3	2
74	320000.0	84.67	Auxiliadora	594.0	1100.0	3	1
75	1700000.0	142.13	Mont Serrat	2150.0	3500.0	3	3
76	945000.0	136.87	Mont Serrat	1600.0	1200.0	3	2
77	210000.0	40.04	Bela Vista	200.0	43.0	1	1
79	650000.0	124.0	Auxiliadora	601.0	1756.0	3	1
80	585000.0	74.29	Mont Serrat	400.0	930.0	2	1
81	500000.0	74.785	Auxiliadora	225.0	600.0	3	1
82	930000.0	175.92	Mont Serrat	1200.0	3500.0	3	2
108	649000.0	70.74	Mont Serrat	700.0	1074.0	2	1
113	700000.0	109.0	Bela Vista	412.0	2000.0	3	1
116	580000.0	104.97	Auxiliadora	570.0	1537.0	3	1
117	1150000.0	180.83	Auxiliadora	800.0	1634.0	2	3
118	712000.0	93.32	Auxiliadora	600.0	1700.0	2	2
120	1399000.0	232.24	Bela Vista	2000.0	5200.0	3	3
122	660000.0	79.0	Bela Vista	690.0	1000.0	2	1
126	1450000.0	213.1	Mont Serrat	1350.0	5000.0	3	3
128	584000.0	47.78	Auxiliadora	550.0	1199.0	1	1
129	439000.0	82.93	Bela Vista	500.0	700.0	2	1
133	1330000.0	136.0	Auxiliadora	800.0	2500.0	3	3
137	803602.0	62.0	Bela Vista	504.0	1360.0	1	2
138	2100000.0	179.95	Auxiliadora	1200.0	3200.0	3	4
140	1367400.0	131.36	Auxiliadora	1740.0	2500.0	3	3
142	420000.0	70.63	Auxiliadora	300.0	900.0	3	1
152	850000.0	110.63	Bela Vista	1100.0	1700.0	3	2
153	465000.0	54.87	Bela Vista	800.0	1200.0	1	1
154	1850000.0	206.31	Bela Vista	1400.0	4300.0	3	4
156	530000.0	87.57	Auxiliadora	480.0	1100.0	2	1
158	670000.0	120.18	Bela Vista	1200.0	1889.0	3	1
159	830000.0	110.32	Auxiliadora	1000.0	1525.0	3	2
160	1152000.0	144.52	Auxiliadora	1500.0	2900.0	3	2
161	860000.0	143.59	Mont Serrat	1063.0	2700.0	3	2
162	499000.0	118.07	Auxiliadora	350.0	1057.0	3	1
166	720000.0	117.46	Auxiliadora	720.0	1902.0	3	2
167	850000.0	154.63	Auxiliadora	950.0	2500.0	3	2
168	586000.0	39.77	Mont Serrat	360.0	1000.0	1	1
169	440000.0	83.9	Auxiliadora	399.0	800.0	3	1
170	638000.0	98.57	Auxiliadora	395.0	1957.0	3	1
171	1100000.0	103.68	Mont Serrat	990.0	2800.0	3	2
172	490000.0	79.5	Auxiliadora	370.0	1300.0	3	1
175	530000.0	54.87	Bela Vista	800.0	1200.0	1	1
176	398000.0	76.06	Auxiliadora	513.0	949.0	2	1
178	700000.0	134.0	Auxiliadora	1100.0	2400.0	3	2
179	860000.0	120.0	Bela Vista	915.0	1476.0	3	2
181	460000.0	52.93	Auxiliadora	250.0	900.0	1	1
182	490000.0	123.0	Auxiliadora	500.0	1050.0	3	1
183	1100000.0	158.14	Auxiliadora	1250.0	3050.0	3	2
190	1120000.0	107.0	Bela Vista	800.0	1300.0	3	2
195	1230000.0	144.52	Auxiliadora	1200.0	2900.0	3	3
198	2219000.0	174.96	Bela Vista	900.0	4000.0	4	4
200	980000.0	97.41	Bela Vista	1200.0	1900.0	2	2
201	450000.0	95.8	Auxiliadora	450.0	800.0	3	1
202	2150000.0	153.34	Auxiliadora	1650.0	3000.0	3	4
203	800000.0	110.0	Auxiliadora	800.0	1300.0	3	2
204	239900.0	48.18	Mont Serrat	250.0	400.0	2	1
205	900000.0	136.15	Auxiliadora	900.0	3800.0	3	2
208	428822.0	41.95	Mont Serrat	420.0	1500.0	1	1
210	890000.0	192.0	Auxiliadora	840.0	3197.0	3	2
218	1490000.0	153.99	Auxiliadora	1600.0	4000.0	3	3
221	460000.0	109.0	Auxiliadora	670.0	1300.0	3	1
225	750000.0	124.12	Mont Serrat	900.0	1964.0	3	2
229	599000.0	39.44	Auxiliadora	360.0	700.0	1	1
230	450000.0	116.0	Auxiliadora	750.0	2000.0	3	1
231	450000.0	54.87	Bela Vista	750.0	1250.0	1	1
232	450000.0	86.9	Auxiliadora	200.0	1000.0	2	1
234	1350000.0	198.43	Auxiliadora	1610.0	4800.0	3	2
236	1650000.0	168.91	Bela Vista	1500.0	2400.0	3	3
241	890000.0	94.47	Auxiliadora	850.0	1360.0	1	1
244	1599000.0	183.0	Bela Vista	1200.0	3500.0	3	3
247	200000.0	50.83	Auxiliadora	190.0	490.0	1	1
248	864613.0	65.0	Auxiliadora	450.0	1500.0	2	2
251	974500.0	166.76	Bela Vista	980.0	4000.0	3	2
256	1285000.0	158.0	Auxiliadora	1250.0	3050.0	3	3
260	269000.0	65.33	Mont Serrat	550.0	1100.0	3	1
262	2450000.0	230.0	Bela Vista	1500.0	3000.0	3	4
265	2480000.0	201.58	Bela Vista	1986.0	5200.0	3	4
266	750000.0	96.0	Auxiliadora	835.0	1786.0	3	2
268	590000.0	95.31	Auxiliadora	500.0	1500.0	3	1
269	607544.0	43.0	Auxiliadora	380.0	1200.0	1	1
270	1003728.0	74.0	Auxiliadora	500.0	1600.0	2	2
271	1497587.0	108.0	Auxiliadora	750.0	2800.0	3	3
272	736303.0	53.0	Auxiliadora	380.0	1200.0	1	1
274	639000.0	107.831	Mont Serrat	650.0	1600.0	3	1
275	300000.0	43.83	Mont Serrat	350.0	400.0	1	1
278	500000.0	78.3	Mont Serrat	600.0	1450.0	2	1
281	1280000.0	167.0	Mont Serrat	1134.0	3473.0	3	3
282	1200000.0	126.37	Mont Serrat	1400.0	1280.0	3	3
283	995000.0	152.93	Mont Serrat	1150.0	3220.0	3	2
284	1590000.0	227.0	Bela Vista	1340.0	4300.0	3	3
286	310000.0	44.04	Mont Serrat	239.0	427.0	1	1
290	950000.0	137.64	Auxiliadora	800.0	1500.0	3	2
291	550000.0	69.6	Mont Serrat	410.0	1200.0	3	1
298	1320000.0	162.0	Bela Vista	1800.0	3500.0	3	3
302	795000.0	122.7	Mont Serrat	700.0	1250.0	3	2
303	1060000.0	106.0	Mont Serrat	900.0	3000.0	3	2
304	2600000.0	201.22	Auxiliadora	1150.0	4800.0	3	4
306	680000.0	72.34	Bela Vista	480.0	1000.0	2	1
307	400000.0	70.87	Mont Serrat	370.0	500.0	2	1
311	700000.0	130.45	Bela Vista	1300.0	2200.0	3	2
313	470000.0	56.89	Bela Vista	600.0	1100.0	1	1
317	560000.0	91.49	Bela Vista	450.0	990.0	3	1
318	1380000.0	103.51	Auxiliadora	1200.0	2000.0	3	3
321	1200000.0	126.84	Bela Vista	1430.0	2738.0	2	3
323	750000.0	100.92	Auxiliadora	700.0	1463.0	2	2
324	800000.0	90.09	Auxiliadora	860.0	2178.0	2	2
325	550000.0	94.05	Auxiliadora	550.0	1400.0	3	1
327	2470000.0	213.1	Mont Serrat	1500.0	3000.0	3	4
330	1200000.0	154.0	Bela Vista	1200.0	2650.0	3	3
333	500000.0	98.61	Auxiliadora	490.0	890.0	3	1
334	949000.0	96.8	Mont Serrat	750.0	1200.0	2	2
335	1350000.0	134.0	Auxiliadora	600.0	2415.0	3	3
336	1100000.0	88.88	Auxiliadora	550.0	1600.0	3	2
341	1150000.0	131.0	Bela Vista	550.0	2100.0	3	3
343	2420000.0	169.0	Bela Vista	2000.0	2500.0	4	4
352	619150.0	60.41	Auxiliadora	350.0	546.0	2	1
356	439000.0	39.24	Auxiliadora	350.0	564.0	1	1
360	1320000.0	139.96	Mont Serrat	950.0	2400.0	3	3
365	890000.0	99.23	Mont Serrat	1150.0	2000.0	3	2
366	370000.0	67.0	Mont Serrat	300.0	500.0	2	1
367	1800000.0	221.82	Bela Vista	1800.0	5000.0	4	3
371	295000.0	68.68	Auxiliadora	250.0	765.0	2	1
375	1000000.0	115.0	Auxiliadora	565.0	1400.0	3	2
376	850000.0	107.0	Bela Vista	900.0	2900.0	3	2
379	550000.0	86.85	Auxiliadora	350.0	890.0	3	1
380	450000.0	65.42	Mont Serrat	400.0	650.0	2	1
381	2150000.0	180.9	Bela Vista	1500.0	1500.0	3	4
382	1740032.0	127.0	Auxiliadora	890.0	3200.0	3	3
385	2800000.0	201.58	Auxiliadora	1200.0	5200.0	3	4
387	1450000.0	166.57	Bela Vista	1200.0	3100.0	3	3
395	425000.0	72.0	Bela Vista	307.0	1500.0	2	1
397	656000.0	81.5	Bela Vista	381.0	1844.0	2	1
399	170000.0	32.13	Bela Vista	140.0	320.0	1	1
401	530000.0	83.0	Auxiliadora	480.0	1100.0	2	1
402	1650000.0	199.66	Bela Vista	1600.0	3000.0	4	3
405	680000.0	84.36	Bela Vista	1000.0	1300.0	2	2
406	1100000.0	180.0	Auxiliadora	1400.0	2100.0	3	2
407	650000.0	101.0	Auxiliadora	400.0	1500.0	2	1
408	530000.0	94.09	Auxiliadora	484.0	818.0	3	1
418	398000.0	122.35	Auxiliadora	1000.0	1150.0	3	1
421	670000.0	76.0	Bela Vista	356.0	504.0	2	1
422	1880000.0	244.27	Bela Vista	1300.0	5000.0	4	4
425	1540000.0	221.26	Mont Serrat	1800.0	4500.0	4	3
427	630000.0	75.05	Mont Serrat	730.0	1650.0	2	1
430	420000.0	89.38	Mont Serrat	455.0	1000.0	2	1
438	1445000.0	140.0	Bela Vista	700.0	1900.0	3	3
443	699500.0	86.42	Bela Vista	600.0	2500.0	3	2
446	630550.0	60.41	Auxiliadora	350.0	560.0	2	1
448	2100000.0	243.28	Mont Serrat	800.0	3000.0	3	4
450	550000.0	55.61	Mont Serrat	550.0	1100.0	1	1
452	920000.0	138.0	Bela Vista	1000.0	2000.0	3	2
463	499000.0	86.5	Bela Vista	260.0	950.0	2	1
465	680000.0	86.76	Bela Vista	450.0	600.0	3	2
466	745000.0	86.0	Auxiliadora	550.0	600.0	2	2
470	1380000.0	196.79	Auxiliadora	1500.0	2000.0	3	3
471	1100000.0	134.0	Auxiliadora	1900.0	1200.0	3	2
474	610000.0	54.87	Bela Vista	1000.0	1800.0	1	1
480	250000.0	45.78	Mont Serrat	200.0	700.0	1	1
481	590000.0	82.73	Mont Serrat	1200.0	1700.0	2	1
484	595000.0	60.0	Bela Vista	500.0	1200.0	1	1
485	447000.0	78.0	Auxiliadora	351.0	1100.0	3	1
487	979000.0	140.0	Auxiliadora	650.0	1100.0	3	2
488	630000.0	106.0	Auxiliadora	400.0	1100.0	2	1
492	1900000.0	224.0	Bela Vista	1500.0	4500.0	3	4
496	620000.0	93.71	Bela Vista	380.0	1500.0	3	1
499	399000.0	45.58	Mont Serrat	450.0	1200.0	1	1
505	189000.0	62.0	Auxiliadora	376.0	528.0	1	1
507	399000.0	96.32	Auxiliadora	350.0	1000.0	3	1
509	1850000.0	190.46	Bela Vista	2000.0	3500.0	3	4
510	235000.0	48.0	Auxiliadora	185.0	540.0	2	1
512	890000.0	107.24	Bela Vista	890.0	1100.0	3	2
514	435000.0	73.267	Auxiliadora	531.0	550.0	2	1
517	799000.0	87.8	Bela Vista	1000.0	1200.0	2	2
519	285000.0	56.23	Mont Serrat	130.0	426.0	1	1
521	1771400.0	157.44	Bela Vista	1000.0	3600.0	2	3
522	2200000.0	192.2	Bela Vista	1000.0	5000.0	2	4
523	350000.0	68.39	Auxiliadora	250.0	500.0	3	1
524	650000.0	99.86	Auxiliadora	626.0	1920.0	3	1
529	508000.0	88.0	Bela Vista	380.0	540.0	1	1
530	395000.0	72.09	Auxiliadora	418.0	1060.0	2	1
535	399000.0	72.75	Mont Serrat	600.0	800.0	2	1
536	1303300.0	99.04	Bela Vista	500.0	2000.0	2	3
537	185000.0	37.5	Auxiliadora	293.0	280.0	1	1
539	450000.0	56.89	Bela Vista	400.0	1100.0	1	1
543	950000.0	105.61	Bela Vista	800.0	1800.0	3	2
546	3114542.0	257.6	Bela Vista	1500.0	5000.0	4	4
550	890000.0	186.13	Mont Serrat	1027.0	3000.0	3	2
554	599000.0	105.41	Auxiliadora	1200.0	2300.0	3	1
557	1250000.0	167.0	Bela Vista	1250.0	3500.0	3	3
561	285000.0	50.96	Auxiliadora	540.0	550.0	2	1
564	1696000.0	163.56	Auxiliadora	1400.0	2100.0	3	3
570	585000.0	80.0	Bela Vista	750.0	1010.0	2	1
572	574000.0	47.78	Auxiliadora	430.0	1000.0	1	1
573	950000.0	113.76	Mont Serrat	1000.0	1500.0	3	2
574	200000.0	51.0	Auxiliadora	300.0	920.0	2	1
576	369000.0	70.0	Auxiliadora	190.0	530.0	2	1
577	905000.0	102.05	Auxiliadora	1150.0	2270.0	3	2
580	1450000.0	167.1	Auxiliadora	2000.0	2200.0	3	3
588	180000.0	39.0	Mont Serrat	150.0	800.0	1	1
589	660000.0	117.42	Auxiliadora	1400.0	2100.0	3	1
590	1060000.0	104.83	Bela Vista	800.0	1300.0	3	2
593	430000.0	94.0	Mont Serrat	250.0	894.0	2	1
